transaction_id,date,product_id,status,payment_method,amount,customer_id,platform
02cf65ec-1ef0-40a6-b44f-36e4c8b644b4,12-05-19,dsbjrdd,approved,PayPal,901,031e2e7f-2903-40f1-8fe4-d7b6f8663c23,mobile
02dd9254-23b6-4b32-b53a-17fdfdd8538e,17-11-18,7r95cmd,approved,PayPal,440,0321c9ee-5dbe-4839-90f0-bc89db4fa50c,mobile
02df87d6-d1cd-494d-a823-97119ec9fece,25-03-18,bgaqgc8f,approved,MasterCard,438,03237ea3-dad8-44be-88eb-2410f4b4a88d,mobile
02e09992-334b-468f-8be8-924831e7164c,24-12-19,67d9xsj,approved,PayPal,382,03248b92-5fa4-44a7-a1c7-4a615ce67f1a,web
02eb0fde-b132-447e-9493-6a0d66aacc55,20-04-18,hh8spmr,approved,Visa,58,032a3f09-f574-4394-94c6-15f946f56d91,web
02f21e60-18c1-4e86-9c60-8b8cda7dcc5a,21-06-19,5g9bkrp,approved,Visa,935,032aa453-ed36-4327-a898-a3fec4321594,web
02f596d4-94cf-4d16-a039-f9a1cc715b8d,24-05-19,A524A3YCILCLJ3HA2TYJTY7AGI,approved,MasterCard,183,03bb8e3d-5aed-4e1c-97be-50d02aa27dde,web
02f7d55a-957a-43dd-90bf-78f7220a2d86,30-10-18,Z4CPPBMASTC47QB52GQ7E7Y3LA,declined,Visa,956,04b75a10-7993-47c4-bfc6-a3d100954355,web
02fda739-e734-40d6-842c-d3cbe588eb23,06-07-19,7p9nj8j,declined,Visa,368,04c314a5-fcb3-4550-8844-6fe118ed2ae9,mobile
02fdcd8f-e1a9-43d9-b7c2-142c78fc7e90,02-02-19,,approved,Visa,413,0502f9e6-4609-4e84-8378-c649203e5622,web
02ffb826-75ab-4a8f-b350-478167347a4b,20-12-19,3dzwkdy,approved,PayPal,608,0599c49b-2da8-422c-81bf-0617a1d970d2,mobile
0300a275-5844-40e1-b33d-e324b9bd23cf,19-12-18,MU42GW6T7W2Y7EAXL3VLPUPVSU,approved,PayPal,562,05a1bacf-2980-415b-a355-e67bca53fcfa,web
0300e554-af2b-4e92-8e22-cdbf1daed028,25-11-19,g4x3rr4,declined,PayPal,694,05a83064-6798-4409-b0df-de90d659b89d,mobile
03010d47-62c6-43b9-852b-d753097c8813,16-08-19,6GP3WLFJK2IRJFGYLRA2FXEBTY,approved,MasterCard,563,05abb296-c7fd-4c2f-8d47-8a173106d90f,web
0307b5fd-7238-4ba6-8402-d41aba331ddf,18-01-19,ckray5xd,approved,MasterCard,604,05b8916d-b217-4caf-afe1-48e64015c1e5,web
02f7d55a-957a-43dd-90bf-78f7220a2d86,28-08-18,mgb3m44,declined,MasterCard,100,05bb8b02-28a8-471a-ae19-2c8eb55dac53,mobile
